"latitude","longitude","elevation","distance"
"42.76145","-9.10739","32.7","6891.7"
"42.76155","-9.10786","31.1","6931.6"
"42.76176","-9.10833","29.1","6976.5"
"42.76212","-9.10882","27.0","7033.1"
"42.76270","-9.10965","24.6","7126.6"
"42.76327","-9.11049","22.5","7220.1"
"42.76371","-9.11095","21.5","7281.7"
"42.76445","-9.11128","21.5","7368.0"
"42.76518","-9.11161","22.8","7454.2"
"42.76592","-9.11194","23.9","7540.4"
"42.76646","-9.11228","23.9","7606.7"
"42.76700","-9.11263","23.5","7673.1"
"42.76760","-9.11304","23.9","7747.9"
"42.76820","-9.11346","25.4","7822.7"
"42.76872","-9.11386","26.8","7889.1"
"42.76884","-9.11395","26.9","7904.3"
"42.76901","-9.11420","26.9","7932.2"
"42.76940","-9.11514","25.2","8020.3"
"42.76960","-9.11543","23.7","8052.8"
"42.76975","-9.11555","22.6","8072.1"
"42.76999","-9.11556","21.2","8098.8"
"42.77027","-9.11552","19.6","8130.1"
"42.77062","-9.11551","18.1","8169.1"
"42.77075","-9.11556","18.0","8184.1"
"42.77141","-9.11595","19.3","8263.7"
"42.77206","-9.11635","19.3","8343.4"
"42.77226","-9.11644","18.8","8366.8"
"42.77280","-9.11645","16.7","8426.8"
"42.77300","-9.11646","16.2","8449.1"
"42.77315","-9.11654","16.2","8467.0"
"42.77329","-9.11665","16.5","8485.0"
"42.77343","-9.11714","17.8","8527.9"
"42.77357","-9.11789","20.8","8591.3"
"42.77370","-9.11865","23.7","8654.8"
"42.77370","-9.11875","24.1","8662.9"
"42.77384","-9.11909","25.7","8694.7"
"42.77398","-9.11931","26.6","8718.5"
"42.77467","-9.12008","29.5","8817.5"
"42.77536","-9.12084","30.3","8916.5"
"42.77605","-9.12161","30.2","9015.5"
"42.77655","-9.12208","29.8","9083.1"
"42.77680","-9.12225","29.4","9114.1"
"42.77735","-9.12250","28.4","9178.6"
"42.77806","-9.12278","26.7","9260.3"
"42.77876","-9.12306","26.2","9342.0"
"42.77947","-9.12335","26.5","9423.7"
"42.78017","-9.12363","26.7","9505.5"
"42.78069","-9.12389","25.9","9567.1"
"42.78112","-9.12415","25.0","9619.4"
"42.78149","-9.12443","24.5","9666.4"
"42.78207","-9.12496","24.5","9744.2"
"42.78266","-9.12548","24.5","9822.0"
"42.78324","-9.12601","24.7","9899.7"
"42.78382","-9.12654","25.5","9977.5"
"42.78407","-9.12673","25.9","10009.3"
"42.78441","-9.12692","26.2","10050.2"
"42.78485","-9.12715","26.4","10102.6"
"42.78536","-9.12734","26.0","10161.4"
"42.78608","-9.12767","24.3","10246.1"
"42.78681","-9.12799","23.3","10330.9"
"42.78753","-9.12832","23.3","10415.6"
"42.78825","-9.12865","24.2","10500.3"
"42.78898","-9.12897","25.7","10585.1"
"42.78970","-9.12930","27.6","10669.8"
"42.79020","-9.12954","29.0","10728.7"
"42.79070","-9.12978","30.5","10787.7"
"42.79121","-9.12995","31.7","10846.1"
"42.79174","-9.13005","32.4","10906.2"
"42.79228","-9.13016","32.8","10966.3"
"42.79313","-9.13053","32.9","11065.0"
"42.79397","-9.13090","34.4","11163.7"
"42.79435","-9.13104","36.1","11207.4"
"42.79467","-9.13104","38.0","11243.0"
"42.79503","-9.13095","40.2","11283.7"
"42.79578","-9.13075","44.5","11368.2"
"42.79652","-9.13054","48.0","11452.7"
"42.79737","-9.13028","47.5","11549.6"
"42.79753","-9.13011","46.8","11572.2"
"42.79756","-9.13007","46.6","11576.8"
"42.79761","-9.12992","46.0","11590.3"
"42.79768","-9.12954","44.5","11622.2"
"42.79777","-9.12926","43.2","11647.2"
"42.79787","-9.12907","42.1","11666.3"
"42.79808","-9.12883","40.5","11696.7"
"42.79856","-9.12842","37.4","11759.7"
"42.79900","-9.12809","35.0","11815.3"
"42.79943","-9.12775","32.5","11870.8"
"42.79965","-9.12752","31.1","11901.7"
"42.79980","-9.12723","30.0","11930.6"
"42.80011","-9.12659","28.8","11993.2"
"42.80019","-9.12646","28.6","12007.0"
"42.80062","-9.12561","27.4","12091.1"
"42.80105","-9.12476","26.8","12175.3"
"42.80148","-9.12392","27.9","12259.4"
"42.80191","-9.12307","32.1","12343.5"
"42.80234","-9.12222","37.1","12427.6"
"42.80277","-9.12137","40.0","12511.8"
"42.80323","-9.12046","41.4","12601.8"
"42.80369","-9.11955","41.1","12691.8"
"42.80414","-9.11864","39.2","12781.8"
"42.80460","-9.11773","38.9","12871.9"
"42.80506","-9.11682","40.9","12961.9"
"42.80539","-9.11609","42.0","13031.8"
"42.80565","-9.11543","42.6","13092.7"
"42.80590","-9.11477","42.9","13153.6"
"42.80610","-9.11419","42.8","13205.6"
"42.80629","-9.11361","42.3","13257.6"
"42.80656","-9.11290","41.0","13323.2"
"42.80683","-9.11218","38.8","13388.8"
"42.80706","-9.11172","36.7","13434.3"
"42.80755","-9.11094","31.6","13517.7"
"42.80803","-9.11016","25.5","13601.1"
"42.80820","-9.10993","23.7","13627.7"
"42.80841","-9.10979","22.2","13653.7"
"42.80916","-9.10950","18.5","13740.4"
"42.80936","-9.10937","17.8","13765.0"
"42.80948","-9.10927","17.5","13780.7"
"42.80956","-9.10918","17.4","13792.2"
"42.81002","-9.10840","17.2","13873.8"
"42.81055","-9.10763","17.2","13959.7"
"42.81107","-9.10686","16.6","14045.6"
"42.81160","-9.10609","14.5","14131.5"
"42.81172","-9.10581","13.8","14157.9"
"42.81179","-9.10547","13.4","14186.7"
"42.81191","-9.10439","14.1","14275.8"
"42.81201","-9.10397","15.0","14311.9"
"42.81243","-9.10298","17.0","14404.7"
"42.81285","-9.10200","17.7","14497.6"
"42.81326","-9.10101","16.4","14590.5"
"42.81368","-9.10003","14.1","14683.4"
"42.81410","-9.09904","12.6","14776.3"
"42.81451","-9.09806","13.2","14868.4"
"42.81491","-9.09707","16.1","14960.5"
"42.81532","-9.09609","20.1","15052.5"
"42.81572","-9.09520","23.3","15137.7"
"42.81580","-9.09506","23.7","15152.2"
"42.81610","-9.09472","24.4","15195.5"
"42.81643","-9.09444","24.6","15238.8"
"42.81716","-9.09374","24.4","15338.0"
"42.81735","-9.09342","24.2","15371.6"
"42.81756","-9.09294","24.2","15417.2"
"42.81782","-9.09241","24.8","15469.2"
"42.81807","-9.09187","25.9","15521.2"
"42.81826","-9.09162","26.5","15550.6"
"42.81898","-9.09092","27.4","15648.9"
"42.81925","-9.09077","27.4","15681.4"
"42.81958","-9.09061","27.2","15720.3"
"42.81973","-9.09056","27.0","15737.5"
"42.81991","-9.09054","26.6","15757.6"
"42.82020","-9.09040","25.8","15791.8"
"42.82065","-9.09023","24.7","15843.7"
"42.82086","-9.09013","24.5","15868.4"
"42.82121","-9.08975","24.5","15918.2"
"42.82132","-9.08965","24.6","15932.9"
"42.82171","-9.08947","24.7","15978.7"
"42.82205","-9.08942","24.8","16016.7"
"42.82214","-9.08939","24.9","16027.0"
"42.82233","-9.08929","24.9","16049.6"
"42.82266","-9.08883","24.5","16102.1"
"42.82276","-9.08875","24.3","16115.0"
"42.82323","-9.08861","23.3","16168.5"
"42.82372","-9.08853","22.3","16223.4"
"42.82407","-9.08852","21.5","16262.3"
"42.82491","-9.08854","19.6","16355.7"
"42.82575","-9.08857","18.3","16449.2"
"42.82651","-9.08868","17.8","16534.1"
"42.82737","-9.08884","17.5","16630.6"
"42.82823","-9.08900","17.8","16727.2"
"42.82907","-9.08914","18.4","16820.7"
"42.82990","-9.08928","18.6","16914.3"
"42.83052","-9.08933","18.4","16982.8"
"42.83113","-9.08939","17.6","17051.3"
"42.83125","-9.08942","17.3","17064.9"
"42.83142","-9.08955","16.8","17086.6"
"42.83167","-9.08993","15.3","17128.2"
"42.83180","-9.09001","14.7","17144.0"
"42.83201","-9.09008","13.7","17168.1"
"42.83224","-9.09010","12.8","17193.7"
"42.83308","-9.09022","10.6","17287.1"
"42.83391","-9.09034","10.0","17380.4"
"42.83473","-9.09046","10.3","17472.1"
"42.83555","-9.09058","11.0","17563.8"
"42.83636","-9.09070","11.6","17654.0"
"42.83716","-9.09081","12.7","17744.2"
"42.83797","-9.09093","13.9","17834.4"
"42.83878","-9.09105","15.3","17924.6"
"42.83958","-9.09116","16.0","18014.8"
"42.84039","-9.09128","16.8","18105.0"
"42.84123","-9.09140","17.5","18198.6"
"42.84206","-9.09153","18.6","18292.1"
"42.84290","-9.09165","20.6","18385.7"
"42.84374","-9.09178","23.5","18479.2"
"42.84457","-9.09190","27.2","18572.8"
"42.84541","-9.09203","30.9","18666.3"
"42.84624","-9.09215","31.9","18759.9"
"42.84708","-9.09228","30.1","18853.4"
"42.84791","-9.09239","27.9","18946.2"
"42.84874","-9.09251","26.6","19038.9"
"42.84957","-9.09262","26.6","19131.7"
"42.85040","-9.09274","27.9","19224.4"
"42.85123","-9.09285","30.8","19317.2"
"42.85206","-9.09297","32.8","19410.0"
"42.85289","-9.09308","32.8","19502.7"
"42.85355","-9.09319","31.6","19576.7"
"42.85378","-9.09328","31.1","19603.3"
"42.85428","-9.09364","30.0","19666.1"
"42.85500","-9.09435","27.5","19765.0"
"42.85573","-9.09505","25.8","19863.9"
"42.85645","-9.09576","25.1","19962.8"
